GEOID,Geography_Name,County,State,Total_Population,Median_Age,Pct_Age_65_Plus,Median_Household_Income,Pct_Below_Poverty,Pct_No_Health_Insurance,Pct_Commute_Public_Transit,Pct_Broadband_Internet,Pct_NonEnglish_Language_Home
10001040100,Census Tract 401; Kent County; Delaware,,,7343,41.7,14.3,76330.0,13.6,3.6,0.5,92.4,11.8
10001040201,Census Tract 402.01; Kent County; Delaware,,,5132,36.6,11.0,81202.0,5.1,6.4,1.3,95.9,3.3
10001040203,Census Tract 402.03; Kent County; Delaware,,,5415,40.8,22.7,66932.0,16.6,6.4,0.0,87.6,13.3
10001040204,Census Tract 402.04; Kent County; Delaware,,,6265,38.2,15.5,97773.0,8.2,4.6,0.7,95.0,11.0
10001040205,Census Tract 402.05; Kent County; Delaware,,,4857,33.3,13.4,61992.0,10.1,3.3,0.0,91.7,9.3
10001040206,Census Tract 402.06; Kent County; Delaware,,,7807,41.8,19.6,100580.0,1.1,7.3,0.0,93.7,11.9
10001040501,Census Tract 405.01; Kent County; Delaware,,,4777,44.7,20.5,60833.0,16.3,6.5,1.4,86.1,14.3
10001040502,Census Tract 405.02; Kent County; Delaware,,,2647,39.3,18.1,62917.0,12.8,11.4,2.7,90.2,8.5
10001040700,Census Tract 407; Kent County; Delaware,,,5417,42.9,28.6,79125.0,24.9,3.6,0.0,86.5,11.5
10001040900,Census Tract 409; Kent County; Delaware,,,2334,36.6,26.6,37072.0,23.8,3.1,0.5,69.8,8.6
10001041000,Census Tract 410; Kent County; Delaware,,,7176,40.2,19.2,60117.0,14.0,10.9,0.0,83.5,13.9
10001041101,Census Tract 411.01; Kent County; Delaware,,,3262,25.9,1.8,67174.0,3.3,2.6,0.0,100.0,15.4
10001041200,Census Tract 412; Kent County; Delaware,,,3809,34.5,16.7,71648.0,15.5,6.0,0.1,92.0,22.8
10001041300,Census Tract 413; Kent County; Delaware,,,2135,35.3,18.6,44638.0,28.5,7.1,0.0,91.4,7.4
10001041400,Census Tract 414; Kent County; Delaware,,,3626,34.3,12.5,38768.0,28.5,10.9,6.4,90.4,9.6
10001041500,Census Tract 415; Kent County; Delaware,,,4491,42.3,15.3,51953.0,18.9,11.9,2.7,92.1,8.7
10001041600,Census Tract 416; Kent County; Delaware,,,2345,41.8,23.6,78167.0,16.8,4.4,0.6,91.8,5.6
10001041701,Census Tract 417.01; Kent County; Delaware,,,6076,35.3,21.7,62300.0,7.7,5.9,0.2,96.3,16.7
10001041702,Census Tract 417.02; Kent County; Delaware,,,4516,42.0,16.6,102389.0,8.4,1.7,0.0,94.3,8.5
10001041802,Census Tract 418.02; Kent County; Delaware,,,6847,34.9,13.9,73472.0,4.0,12.2,0.0,92.4,19.0
10001041803,Census Tract 418.03; Kent County; Delaware,,,4288,33.6,18.6,56431.0,29.0,9.5,0.1,81.7,15.8
10001041804,Census Tract 418.04; Kent County; Delaware,,,5657,47.7,23.1,81328.0,10.8,5.1,2.3,91.5,13.2
10001041900,Census Tract 419; Kent County; Delaware,,,5119,41.0,15.8,64706.0,11.0,16.0,0.0,85.2,11.3
10001042000,Census Tract 420; Kent County; Delaware,,,3220,38.2,13.6,87862.0,8.8,25.0,0.4,68.2,19.3
10001042100,Census Tract 421; Kent County; Delaware,,,4523,36.8,14.0,80981.0,13.7,14.9,0.0,88.0,20.9
10001042203,Census Tract 422.03; Kent County; Delaware,,,6184,34.5,14.8,87778.0,4.0,2.5,2.1,97.6,1.6
10001042204,Census Tract 422.04; Kent County; Delaware,,,4416,37.6,20.1,108000.0,4.0,6.9,0.0,91.9,17.4
10001042205,Census Tract 422.05; Kent County; Delaware,,,2739,34.3,14.6,55163.0,23.8,4.3,0.0,92.5,5.4
10001042206,Census Tract 422.06; Kent County; Delaware,,,2600,52.4,23.8,85625.0,8.0,6.3,0.0,98.7,4.6
10001042207,Census Tract 422.07; Kent County; Delaware,,,2606,38.3,9.8,101250.0,4.1,4.1,4.2,84.1,5.4
10001042208,Census Tract 422.08; Kent County; Delaware,,,4028,51.1,21.5,73750.0,12.3,4.9,0.8,90.7,2.5
10001042500,Census Tract 425; Kent County; Delaware,,,4325,40.9,19.2,40507.0,22.7,8.9,0.9,73.9,29.8
10001042801,Census Tract 428.01; Kent County; Delaware,,,1913,45.1,20.1,60000.0,7.1,7.4,0.1,92.3,3.1
10001042802,Census Tract 428.02; Kent County; Delaware,,,5746,44.3,18.8,77851.0,11.1,4.2,0.0,86.2,6.7
10001042900,Census Tract 429; Kent County; Delaware,,,5385,38.7,22.3,65362.0,10.1,10.3,0.0,84.4,1.5
10001043000,Census Tract 430; Kent County; Delaware,,,5602,31.7,13.4,70271.0,12.5,4.3,0.5,87.9,10.1
10001043100,Census Tract 431; Kent County; Delaware,,,2260,50.0,17.2,79071.0,9.6,3.0,0.0,88.0,2.3
10001043202,Census Tract 432.02; Kent County; Delaware,,,3748,46.1,18.8,56098.0,16.4,3.4,0.0,88.3,2.0
10001043300,Census Tract 433; Kent County; Delaware,,,6276,22.4,13.2,48373.0,25.7,2.8,2.9,86.6,11.1
