ZCTA,ALAND,AWATER,Total_Population,Median_Age,Pct_Age_65_Plus,Median_Household_Income,Pct_Below_Poverty,Pct_No_Health_Insurance,Pct_Commute_Public_Transit,Pct_Broadband_Internet,Pct_NonEnglish_Language_Home
21842,23724173,31478537,10951,53.1,29.2,68626.0,8.2,8.4,2.6,91.6,12.2
21874,73216361,111701,2222,36.7,8.0,75655.0,18.3,10.1,0.0,88.4,14.5
21872,42413587,208114,573,31.7,9.4,110709.0,5.4,0.0,0.0,100.0,6.9
21813,71041842,17696993,2927,47.4,21.9,103387.0,2.2,4.5,0.0,95.5,1.0
19975,66138389,4512947,9693,60.2,40.2,80538.0,5.8,5.6,0.0,89.5,7.5
19944,3218022,2728230,582,72.9,66.8,100357.0,2.6,1.4,0.0,94.1,1.9
21849,95459643,344485,3366,41.9,17.1,70266.0,11.6,2.4,0.0,86.6,2.8
21850,72736436,182755,3628,45.4,20.1,72368.0,10.5,5.9,0.5,93.8,5.6
21801,103888331,4022394,30766,37.2,17.4,65750.0,14.7,7.1,0.3,83.2,11.1
21875,63109255,299661,7446,38.9,14.4,69362.0,10.4,4.3,0.0,91.3,15.9
21837,113595339,8420299,3165,39.0,17.1,81173.0,4.6,6.4,0.1,75.7,7.1
19940,106992523,235,6818,43.3,17.7,61750.0,14.3,7.4,0.0,78.1,9.5
21861,6745322,1261616,776,35.6,13.4,83125.0,2.1,5.9,0.0,93.9,2.3
19956,260035756,2589667,15822,37.2,17.0,53633.0,20.9,6.8,1.2,83.0,11.4
19931,3091195,0,376,58.4,26.3,90250.0,1.6,2.7,0.0,78.9,14.4
19945,161408619,4568235,8519,57.6,33.7,83732.0,9.3,6.4,0.0,91.9,9.7
19930,15171699,12242516,2878,67.7,61.3,116736.0,3.6,1.9,0.7,94.5,9.7
19967,4216009,0,2050,65.5,53.0,91763.0,4.4,1.4,0.7,94.6,4.7
19970,24151664,2755878,7639,63.1,45.3,88739.0,13.7,2.3,0.0,91.4,5.6
19966,230708181,21345961,32513,53.4,31.8,71577.0,10.9,7.7,0.2,88.0,9.3
19939,67263443,15221451,7668,53.8,31.5,84673.0,4.9,10.3,0.0,92.2,1.9
19971,46520025,29087333,15043,61.6,42.0,101181.0,7.7,3.1,0.6,94.4,5.8
19951,23133237,328929,2173,53.7,34.1,90162.0,4.9,7.0,0.0,83.6,8.9
19958,122437580,21722316,28761,62.1,41.6,90772.0,7.1,2.9,0.1,91.7,5.6
19968,165498890,5505894,15125,52.2,29.6,77454.0,9.2,3.8,0.0,91.7,7.1
19973,217548915,5211460,26070,43.6,20.8,61849.0,16.8,6.6,0.2,88.5,13.3
19947,308773039,466228,19513,37.4,16.8,65635.0,15.0,15.6,0.3,82.1,33.2
19933,174196048,472583,10610,38.5,18.1,52740.0,22.6,11.2,0.1,77.2,19.8
19941,78452370,164966,3109,36.6,10.6,64261.0,20.7,10.4,0.0,84.4,7.2
19950,187493503,7806,7524,46.3,19.8,71000.0,5.6,10.6,0.0,81.6,6.9
19960,78446712,723134,6863,37.9,15.0,62596.0,7.9,9.7,0.0,84.2,16.7
19954,25300849,110081,1688,37.6,18.7,59219.0,12.5,20.1,0.0,88.1,1.3
19952,235580771,291306,10602,35.6,17.7,69688.0,11.4,4.2,0.3,87.2,6.1
19943,161706335,1126131,12600,45.6,19.4,74785.0,8.9,5.4,0.0,91.6,5.3
19946,59753720,661738,5497,48.7,18.2,67022.0,13.6,3.3,0.5,90.8,0.9
19979,8503310,0,541,44.3,10.0,94471.0,2.5,9.8,0.0,85.2,5.3
19963,272260978,21010646,21394,43.4,23.6,62572.0,12.8,6.1,0.4,84.8,15.6
21640,66465334,211567,1374,39.3,26.9,77721.0,5.2,20.4,0.0,82.5,30.2
19980,602581,0,152,56.8,28.3,81198.0,0.7,27.6,0.0,92.6,0.0
19962,37845926,185701,12277,38.1,15.3,97798.0,4.8,3.0,1.2,92.6,8.2
19934,120663169,50275,14566,38.9,19.1,77936.0,8.2,8.6,0.1,92.6,14.1
19964,21022341,124382,1599,40.6,13.5,76221.0,4.8,35.0,0.0,69.1,36.9
19902,10221874,0,64,21.1,0.0,,-666666666.0,-666666666.0,0.0,-666666666.0,7.8
21649,54450077,24292,2205,34.4,14.4,56806.0,14.7,21.9,0.0,87.4,35.5
19953,77428741,21319,4972,40.1,14.5,69327.0,11.8,17.0,0.0,81.3,18.9
19904,111853300,849041,37387,40.2,19.3,63815.0,16.3,7.3,2.0,90.3,12.8
19901,196320146,24432810,39097,33.4,16.5,61809.0,17.0,7.1,0.8,88.1,11.9
21668,117304909,16198,1842,47.8,18.9,76250.0,13.2,5.7,0.0,81.5,3.9
19936,532786,0,222,48.4,18.9,31406.0,27.5,10.0,0.0,63.4,29.2
19955,256381,0,384,12.9,2.6,50446.0,2.6,6.3,0.0,94.4,9.3
21651,105095544,2502408,2346,49.2,20.6,76042.0,7.1,9.7,2.1,79.1,6.8
19938,124858877,0,9240,39.5,15.3,89345.0,8.7,4.5,0.4,91.7,11.9
19977,215243869,13926279,26204,38.6,16.2,72279.0,8.3,5.4,0.4,91.3,8.0
21635,79696079,4046119,1836,49.8,25.9,120169.0,4.5,3.2,0.0,89.9,9.6
19734,206831626,10091005,14026,39.5,13.1,124745.0,4.8,3.9,1.6,91.4,6.6
21912,87726123,4536007,1495,58.1,31.6,69732.0,6.1,4.0,0.0,73.5,5.5
19730,1747198,83463,558,42.5,21.3,81944.0,2.0,2.7,0.8,88.6,2.5
19709,201107215,15671695,48954,40.4,17.1,119790.0,4.7,3.0,1.0,96.3,12.3
21915,58945187,11257020,2469,55.3,26.6,87841.0,13.6,2.2,0.0,92.3,4.5
19731,6545195,476654,328,70.1,75.3,65921.0,0.0,0.0,0.0,100.0,0.0
19733,284506,0,173,51.2,12.1,,0.0,0.0,0.0,100.0,60.1
19706,6555248,3794943,1984,40.1,19.9,69875.0,11.0,7.2,0.6,85.5,0.5
19701,68820993,2041422,44553,41.0,13.8,103104.0,8.0,6.8,1.4,93.0,20.5
19702,72751909,637534,56571,35.7,11.6,90281.0,7.5,6.7,1.2,94.4,23.0
21921,245358374,14216741,45081,39.4,16.1,80999.0,12.1,4.0,1.1,88.4,8.0
08070,53608669,8467403,12468,41.7,19.1,74518.0,13.6,5.5,0.3,86.2,6.9
19720,99205238,7967444,60514,40.1,15.2,72424.0,9.7,6.8,2.6,88.9,17.1
19716,1616341,0,0,-666666666.0,-666666666.0,,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
19713,33674265,12258,29952,38.2,17.5,67088.0,11.8,9.2,1.1,91.6,25.7
19717,668372,0,6129,19.3,0.0,,-666666666.0,2.3,1.6,-666666666.0,8.6
19711,70982873,10139,49746,35.2,16.6,89286.0,14.9,3.8,1.0,94.6,16.8
19804,18586023,171658,17986,39.4,16.2,71610.0,8.4,5.7,0.8,90.5,16.2
19801,11387006,2882427,16545,34.2,8.8,42453.0,29.6,5.4,12.3,82.7,10.6
19808,35614567,1654,38107,42.8,18.3,91847.0,6.8,5.7,0.8,93.9,18.5
