ZCTA5CE20,AFFGEOID20,GEOID20,NAME20,LSAD20,ALAND20,AWATER20,ZCTA,Land_Area_SqMi,Water_Area_SqMi,County_FIPS,County_Name,Total_Population,Median_Age,Pct_Age_65_Plus,Median_Household_Income,Pct_Below_Poverty,Pct_No_Health_Insurance,Pct_Commute_Public_Transit,Pct_Broadband_Internet,Pct_NonEnglish_Language_Home,zip code tabulation area,Pct_Poor_Fair_Health,Pct_Adult_Obesity,Pct_Physical_Inactivity,Dentist_Ratio_Population,Pct_Dental_Visit_Past_Year,Mental_Health_Provider_Ratio,Avg_Poor_Mental_Health_Days,Pct_Frequent_Mental_Distress,Excessive_Drinking_Pct,Population_Density_SqMi,Uninsured_Population_Count,Poverty_Population_Count,Seniors_65_Plus_Count
21842,860Z200US21842,21842,21842,Z5,23724173,31478537,21842,9.159954406122738,12.153931085034982,10005,Sussex,10960,53.5,31.5,63630.0,8.3,8.7,3.1,90.3,10.9,21842,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,1196.51,954.0,910.0,3452.0
21874,860Z200US21874,21874,21874,Z5,73216361,111701,21874,28.268995026390296,0.043127997216944755,10005,Sussex,2239,30.4,6.7,66447.0,18.9,13.7,0.0,84.8,16.7,21874,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,79.2,307.0,423.0,150.0
21813,860Z200US21813,21813,21813,Z5,71041842,17696993,21813,27.429408546589816,6.8328471978969825,10005,Sussex,2662,47.5,22.7,92813.0,4.7,5.0,0.0,93.4,4.0,21813,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,97.05,133.0,125.0,604.0
19975,860Z200US19975,19975,19975,Z5,66138389,4512947,19975,25.536174758732773,1.7424585783137052,10005,Sussex,9610,58.7,39.1,72474.0,6.9,7.5,0.0,87.8,8.5,19975,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,376.33,721.0,663.0,3758.0
19944,860Z200US19944,19944,19944,Z5,3218022,2728230,19944,1.2424852405982667,1.0533754921369118,10005,Sussex,657,71.1,61.3,98750.0,2.4,1.4,0.0,90.9,1.7,19944,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,528.78,9.0,16.0,403.0
21875,860Z200US21875,21875,21875,Z5,63109255,299661,21875,24.366619582666733,0.11569975894599764,10005,Sussex,7052,44.5,15.4,65294.0,11.9,6.1,0.0,86.8,13.6,21875,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,289.41,430.0,839.0,1086.0
21837,860Z200US21837,21837,21837,Z5,113595339,8420299,21837,43.85940559395078,3.251095619894564,10005,Sussex,3164,39.3,16.9,69457.0,8.6,6.8,0.1,72.1,7.3,21837,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,72.14,215.0,272.0,535.0
19940,860Z200US19940,19940,19940,Z5,106992523,235,19940,41.31004408356145,9.073400726924573e-05,10005,Sussex,6146,45.9,20.5,58444.0,14.5,7.1,0.0,75.0,11.0,19940,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,148.78,436.0,891.0,1260.0
21861,860Z200US21861,21861,21861,Z5,6745322,1261616,21861,2.6043833846017157,0.48711266091487965,10005,Sussex,738,35.5,14.8,74609.0,3.3,4.6,0.0,93.6,2.6,21861,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,283.37,34.0,24.0,109.0
19956,860Z200US19956,19956,19956,Z5,260035756,2589667,19956,100.40036670284174,0.9998760187358544,10005,Sussex,15349,37.7,16.5,51171.0,20.8,6.7,0.7,81.4,10.4,19956,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,152.88,1028.0,3193.0,2533.0
19931,860Z200US19931,19931,19931,Z5,3091195,0,19931,1.1935170621304514,0.0,10005,Sussex,348,58.4,24.4,81818.0,1.4,2.3,0.0,77.8,15.4,19931,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,291.58,8.0,5.0,85.0
21659,860Z200US21659,21659,21659,Z5,113367804,2440347,21659,43.77155383929543,0.9422232444148171,10005,Sussex,1163,50.8,15.6,81065.0,2.8,3.5,0.0,80.4,1.0,21659,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,26.57,41.0,33.0,181.0
19945,860Z200US19945,19945,19945,Z5,161408619,4568235,19945,62.32021621134006,1.7638053944579692,10005,Sussex,8080,55.9,30.2,75192.0,11.2,7.4,0.0,90.3,10.8,19945,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,129.65,598.0,905.0,2440.0
19967,860Z200US19967,19967,19967,Z5,4216009,0,19967,1.627810175545555,0.0,10005,Sussex,1706,64.8,49.2,85000.0,4.5,1.9,0.9,93.7,4.2,19967,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,1048.03,32.0,77.0,839.0
19930,860Z200US19930,19930,19930,Z5,15171699,12242516,19930,5.857825733416205,4.726861854203648,10005,Sussex,2799,66.7,58.1,112868.0,3.1,1.9,2.0,93.9,9.4,19930,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,477.82,53.0,87.0,1626.0
19970,860Z200US19970,19970,19970,Z5,24151664,2755878,19970,9.325009604001618,1.0640504446176782,10005,Sussex,7484,63.1,44.2,77304.0,14.7,1.7,0.4,90.2,5.1,19970,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,802.57,127.0,1100.0,3308.0
19966,860Z200US19966,19966,19966,Z5,230708181,21345961,19966,89.07692668905727,8.241721619332068,10005,Sussex,31427,52.5,31.8,64140.0,9.5,5.9,0.2,85.9,8.2,19966,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,352.81,1854.0,2986.0,9994.0
19939,860Z200US19939,19939,19939,Z5,67263443,15221451,19939,25.97056053666594,5.8770350880105005,10005,Sussex,7968,52.9,29.6,72870.0,6.5,9.6,0.0,89.2,1.8,19939,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,306.81,765.0,518.0,2359.0
19971,860Z200US19971,19971,19971,Z5,46520025,29087333,19971,17.961482070278695,11.230682058999877,10005,Sussex,14132,61.1,40.7,85636.0,8.0,2.5,0.5,89.6,5.7,19971,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,786.79,353.0,1131.0,5752.0
19951,860Z200US19951,19951,19951,Z5,23133237,328929,19951,8.9317927409327,0.12700019692368394,10005,Sussex,2237,53.5,32.2,83929.0,3.7,6.0,0.0,82.4,10.2,19951,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,250.45,134.0,83.0,720.0
19958,860Z200US19958,19958,19958,Z5,122437580,21722316,19958,47.273413930846196,8.38703309722916,10005,Sussex,27944,61.2,40.9,78449.0,7.8,2.2,0.2,89.8,5.6,19958,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,591.11,615.0,2180.0,11429.0
19968,860Z200US19968,19968,19968,Z5,165498890,5505894,19968,63.89947867366851,2.125837558381687,10005,Sussex,13829,50.0,28.1,72801.0,10.4,3.7,0.0,89.5,8.0,19968,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,216.42,512.0,1438.0,3886.0
19973,860Z200US19973,19973,19973,Z5,217548915,5211460,19973,83.99610568096392,2.0121559554186526,10005,Sussex,25619,43.0,19.7,58308.0,16.5,7.3,0.2,85.0,13.9,19973,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,305.0,1870.0,4227.0,5047.0
19947,860Z200US19947,19947,19947,Z5,308773039,466228,19947,119.21793687307701,0.1800116371962804,10005,Sussex,20128,37.4,16.3,57894.0,16.3,13.8,0.4,80.7,32.5,19947,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,168.83,2778.0,3281.0,3281.0
21632,860Z200US21632,21632,21632,Z5,201559437,1326041,21632,77.82253371039607,0.5119872924822038,10005,Sussex,6090,41.0,17.4,52758.0,20.1,8.6,1.4,78.3,7.9,21632,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,78.25,524.0,1224.0,1060.0
19933,860Z200US19933,19933,19933,Z5,174196048,472583,19933,67.25747015108884,0.182465316414136,10005,Sussex,10427,38.5,18.1,52905.0,21.0,8.6,0.1,79.5,16.5,19933,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,155.03,897.0,2190.0,1887.0
19941,860Z200US19941,19941,19941,Z5,78452370,164966,19941,30.290629403700237,0.06369372869437613,10005,Sussex,2855,32.3,10.5,70250.0,24.3,10.4,0.0,79.5,11.9,19941,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,94.25,297.0,694.0,300.0
19950,860Z200US19950,19950,19950,Z5,187493503,7806,19950,72.39164623037594,0.0030139134499733286,10005,Sussex,7139,46.7,21.5,66765.0,8.6,9.1,0.0,80.6,5.3,19950,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,98.62,650.0,614.0,1535.0
21629,860Z200US21629,21629,21629,Z5,216570691,6168335,21629,83.6184112829769,2.3816074584218847,10005,Sussex,9999,39.7,15.8,64534.0,10.8,4.3,0.0,87.9,3.7,21629,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,119.58,430.0,1080.0,1580.0
19960,860Z200US19960,19960,19960,Z5,78446712,723134,19960,30.28844483768692,0.2792035983516542,10005,Sussex,7019,37.9,13.8,57656.0,10.0,10.8,0.0,79.4,15.9,19960,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,231.74,758.0,702.0,969.0
19954,860Z200US19954,19954,19954,Z5,25300849,110081,19954,9.768712413123781,0.042502511720024845,10005,Sussex,1556,41.2,18.7,53783.0,12.5,17.9,0.0,86.8,1.4,19954,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,159.28,279.0,194.0,291.0
19952,860Z200US19952,19952,19952,Z5,235580771,291306,19952,90.95824420599368,0.112473875410957,10005,Sussex,10184,36.4,19.1,65644.0,13.8,6.0,0.3,82.8,6.6,19952,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,111.96,611.0,1405.0,1945.0
19963,860Z200US19963,19963,19963,Z5,272260978,21010646,19963,105.1205513063147,8.112255774023613,10005,Sussex,21155,42.4,22.8,58987.0,13.2,4.5,0.3,84.2,17.5,19963,16.8,34.2,26.7,1950.0,64.1,490.0,4.6,13.8,19.4,201.25,952.0,2792.0,4823.0
21639,860Z200US21639,21639,21639,Z5,85694240,821976,21639,33.08673104294676,0.3173667079112576,10001,Kent,4881,35.8,14.2,54882.0,14.3,9.3,0.0,82.5,8.0,21639,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,147.52,454.0,698.0,693.0
19943,860Z200US19943,19943,19943,Z5,161706335,1126131,19943,62.4351650015876,0.43480160995797007,10001,Kent,12581,46.0,17.9,65306.0,10.1,5.3,0.0,90.7,7.1,19943,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,201.51,667.0,1271.0,2252.0
21636,860Z200US21636,21636,21636,Z5,60887921,159769,21636,23.508957730311742,0.061687155776170725,10001,Kent,912,49.5,26.4,70100.0,12.8,19.0,0.0,71.3,8.2,21636,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,38.79,173.0,117.0,241.0
19946,860Z200US19946,19946,19946,Z5,59753720,661738,19946,23.07104027593393,0.25549847022270694,10001,Kent,5248,45.8,18.2,59643.0,7.7,2.7,0.0,90.1,3.2,19946,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,227.47,142.0,404.0,955.0
19979,860Z200US19979,19979,19979,Z5,8503310,0,19979,3.283146346181489,0.0,10001,Kent,641,42.5,8.9,86097.0,7.0,3.0,0.0,88.8,0.6,19979,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,195.24,19.0,45.0,57.0
21640,860Z200US21640,21640,21640,Z5,66465334,211567,21640,25.66240892897381,0.08168647538694686,10001,Kent,1627,38.5,18.4,70875.0,4.9,16.8,0.0,86.1,30.4,21640,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,63.4,273.0,80.0,299.0
19980,860Z200US19980,19980,19980,Z5,602581,0,19980,0.23265782482684835,0.0,10001,Kent,168,54.2,18.5,,19.6,25.6,0.0,95.0,0.0,19980,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,722.09,43.0,33.0,31.0
19962,860Z200US19962,19962,19962,Z5,37845926,185701,19962,14.612393722533344,0.07169955695279234,10001,Kent,11683,40.7,18.1,88750.0,5.3,3.5,0.7,91.2,8.4,19962,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,799.53,409.0,619.0,2115.0
19934,860Z200US19934,19934,19934,Z5,120663169,50275,19934,46.58831001351586,0.019411286023239698,10001,Kent,14099,39.4,17.4,73398.0,8.0,7.8,0.0,93.1,12.3,19934,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,302.63,1100.0,1128.0,2453.0
19964,860Z200US19964,19964,19964,Z5,21022341,124382,19964,8.11677123876835,0.04802415869005669,10001,Kent,1200,43.0,17.5,67829.0,8.6,38.8,0.0,65.8,36.2,19964,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,147.84,466.0,103.0,210.0
19902,860Z200US19902,19902,19902,Z5,10221874,0,19902,3.9466876162609106,0.0,10001,Kent,239,20.9,0.0,,-666666666.0,-666666666.0,0.0,-666666666.0,6.3,19902,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,60.56,-1593333332.0,-1593333332.0,0.0
21649,860Z200US21649,21649,21649,Z5,54450077,24292,21649,21.023292265229745,0.009379193636529861,10001,Kent,2276,34.3,14.5,50625.0,20.6,21.4,0.0,84.2,33.8,21649,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,108.26,487.0,469.0,330.0
19953,860Z200US19953,19953,19953,Z5,77428741,21319,19953,29.89540403720232,0.008231311919034255,10001,Kent,5089,39.3,14.2,61150.0,14.2,13.8,0.0,83.5,17.1,19953,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,170.23,702.0,723.0,723.0
19904,860Z200US19904,19904,19904,Z5,111853300,849041,19904,43.1868005756984,0.32781656283356453,10001,Kent,37940,40.5,18.7,60014.0,17.1,8.0,2.2,88.8,12.7,19904,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,878.51,3035.0,6488.0,7095.0
19901,860Z200US19901,19901,19901,Z5,196320146,24432810,19901,75.79963214580162,9.433560681481275,10001,Kent,38634,32.4,15.4,55655.0,17.9,6.3,0.8,88.5,12.0,19901,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,509.69,2434.0,6915.0,5950.0
21668,860Z200US21668,21668,21668,Z5,117304909,16198,21668,45.29167857840089,0.006254082764881882,10001,Kent,1645,47.8,18.8,77560.0,15.4,8.8,0.0,77.3,5.3,21668,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,36.32,145.0,253.0,309.0
19936,860Z200US19936,19936,19936,Z5,532786,0,19936,0.20570982466788237,0.0,10001,Kent,290,48.9,12.4,28917.0,31.4,11.5,0.0,66.1,23.8,19936,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,1409.75,33.0,91.0,36.0
19955,860Z200US19955,19955,19955,Z5,256381,0,19955,0.09898925752211273,0.0,10001,Kent,412,14.3,1.9,37465.0,4.4,5.8,0.0,94.8,8.4,19955,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,4162.07,24.0,18.0,8.0
21651,860Z200US21651,21651,21651,Z5,105095544,2502408,21651,40.57761639685674,0.9661851304792284,10001,Kent,2488,49.3,17.8,64500.0,6.4,8.1,1.4,78.6,9.0,21651,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,61.31,202.0,159.0,443.0
19938,860Z200US19938,19938,19938,Z5,124858877,0,19938,48.20828192913982,0.0,10001,Kent,9467,37.3,13.5,85665.0,9.8,5.2,1.3,91.9,9.6,19938,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,196.38,492.0,928.0,1278.0
19977,860Z200US19977,19977,19977,Z5,215243869,13926279,19977,83.10612244470883,5.37696638306189,10001,Kent,25907,38.9,15.7,69648.0,10.5,8.5,0.3,91.7,7.4,19977,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,311.73,2202.0,2720.0,4067.0
21635,860Z200US21635,21635,21635,Z5,79696079,4046119,21635,30.7708281332612,1.5622152798222693,10003,New Castle,1871,50.4,26.3,104063.0,7.2,3.2,0.0,87.1,9.7,21635,14.2,31.5,23.1,1190.0,70.8,280.0,4.2,12.3,20.1,60.8,60.0,135.0,492.0
19734,860Z200US19734,19734,19734,Z5,206831626,10091005,19734,79.8581372638039,3.8961588128680638,10001,Kent,13741,40.7,15.2,115421.0,4.6,4.3,2.0,89.6,5.8,19734,17.5,38.1,28.4,1820.0,63.2,420.0,4.8,14.1,18.2,172.07,591.0,632.0,2089.0
21912,860Z200US21912,21912,21912,Z5,87726123,4536007,21912,33.87124545525423,1.751362094090849,10003,New Castle,1393,46.9,26.4,71995.0,5.6,4.3,0.0,72.5,6.4,21912,14.2,31.5,23.1,1190.0,70.8,280.0,4.2,12.3,20.1,41.13,60.0,78.0,368.0
19730,860Z200US19730,19730,19730,Z5,1747198,83463,19730,0.67459691928856,0.03222524446260875,10003,New Castle,456,42.8,18.2,88750.0,4.4,3.1,0.9,96.4,2.1,19730,14.2,31.5,23.1,1190.0,70.8,280.0,4.2,12.3,20.1,675.96,14.0,20.0,83.0
08038,860Z200US08038,08038,08038,Z5,45119920,9577687,08038,17.420898507522494,3.697965625023661,,,410,36.7,2.2,68750.0,1.5,17.3,0.0,98.2,10.6,08038,,,,,,,,,,23.53,71.0,6.0,9.0
19709,860Z200US19709,19709,19709,Z5,201107215,15671695,19709,77.64792982003304,6.050875268303838,10003,New Castle,46773,41.1,18.0,110215.0,4.7,2.2,1.1,96.7,10.3,19709,14.2,31.5,23.1,1190.0,70.8,280.0,4.2,12.3,20.1,602.37,1029.0,2198.0,8419.0
19731,860Z200US19731,19731,19731,Z5,6545195,476654,19731,2.5271139179090674,0.18403713830176618,10003,New Castle,273,54.7,44.3,,0.0,0.0,0.0,100.0,0.0,19731,14.2,31.5,23.1,1190.0,70.8,280.0,4.2,12.3,20.1,108.03,0.0,0.0,121.0
08079,860Z200US08079,08079,08079,Z5,229687598,23223412,08079,88.68287738973443,8.966609503083781,,,10200,40.8,20.2,44763.0,22.3,4.6,2.7,77.8,6.6,08079,,,,,,,,,,115.02,469.0,2275.0,2060.0
19733,860Z200US19733,19733,19733,Z5,284506,0,19733,0.10984838073252777,0.0,10003,New Castle,160,51.1,10.6,,0.0,0.0,0.0,100.0,50.6,19733,14.2,31.5,23.1,1190.0,70.8,280.0,4.2,12.3,20.1,1456.55,0.0,0.0,17.0
19706,860Z200US19706,19706,19706,Z5,6555248,3794943,19706,2.530995402909398,1.4652356840356306,10003,New Castle,1936,39.9,21.5,64548.0,13.9,6.6,0.0,85.6,0.7,19706,14.2,31.5,23.1,1190.0,70.8,280.0,4.2,12.3,20.1,764.92,128.0,269.0,416.0
19701,860Z200US19701,19701,19701,Z5,68820993,2041422,19701,26.57193395378174,0.78819744079829,10003,New Castle,43767,41.2,13.4,95343.0,7.8,7.3,2.7,93.1,19.0,19701,14.2,31.5,23.1,1190.0,70.8,280.0,4.2,12.3,20.1,1647.11,3195.0,3414.0,5865.0
19702,860Z200US19702,19702,19702,Z5,72751909,637534,19702,28.089669106627674,0.2461532535761332,10003,New Castle,55745,34.6,11.0,82790.0,7.4,6.8,0.8,94.5,23.5,19702,14.2,31.5,23.1,1190.0,70.8,280.0,4.2,12.3,20.1,1984.54,3791.0,4125.0,6132.0
21921,860Z200US21921,21921,21921,Z5,245358374,14216741,21921,94.73339783015452,5.489114388250995,10003,New Castle,44793,39.0,15.0,76214.0,13.1,4.4,1.1,88.4,8.2,21921,14.2,31.5,23.1,1190.0,70.8,280.0,4.2,12.3,20.1,472.83,1971.0,5868.0,6719.0
08070,860Z200US08070,08070,08070,Z5,53608669,8467403,08070,20.698422820172716,3.2692825759729067,10003,New Castle,12365,44.6,19.8,70318.0,11.4,4.4,0.3,87.1,7.7,08070,14.2,31.5,23.1,1190.0,70.8,280.0,4.2,12.3,20.1,597.39,544.0,1410.0,2448.0
19720,860Z200US19720,19720,19720,Z5,99205238,7967444,19720,38.30335653548618,3.0762473268651416,10003,New Castle,60599,40.2,14.6,67700.0,10.1,6.2,2.2,88.6,18.0,19720,14.2,31.5,23.1,1190.0,70.8,280.0,4.2,12.3,20.1,1582.08,3757.0,6120.0,8847.0
19716,860Z200US19716,19716,19716,Z5,1616341,0,19716,0.6240727491216167,0.0,10003,New Castle,0,-666666666.0,-666666666.0,,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19716,14.2,31.5,23.1,1190.0,70.8,280.0,4.2,12.3,20.1,0.0,-0.0,-0.0,-0.0
19713,860Z200US19713,19713,19713,Z5,33674265,12258,19713,13.001706405517051,0.004732840260027294,10003,New Castle,29632,38.5,16.8,63613.0,11.0,7.9,2.0,91.1,23.2,19713,14.2,31.5,23.1,1190.0,70.8,280.0,4.2,12.3,20.1,2279.09,2341.0,3260.0,4978.0
