City_Name,State,PLACES_Pct_Any_Disability,PLACES_Pct_Arthritis,PLACES_Pct_BP_Medication,PLACES_Pct_Binge_Drinking,PLACES_Pct_COPD,PLACES_Pct_Cancer_NonSkin,PLACES_Pct_Cholesterol_Screening,PLACES_Pct_Cognitive_Disability,PLACES_Pct_Colorectal_Screening,PLACES_Pct_Coronary_Heart_Disease,PLACES_Pct_Current_Asthma,PLACES_Pct_Current_Smoking,PLACES_Pct_Dental_Visit,PLACES_Pct_Depression,PLACES_Pct_Diabetes,PLACES_Pct_Fair_Poor_Health,PLACES_Pct_Food_Insecurity,PLACES_Pct_Food_Stamps,PLACES_Pct_Frequent_Mental_Distress,PLACES_Pct_Frequent_Physical_Distress,PLACES_Pct_Hearing_Disability,PLACES_Pct_High_Blood_Pressure,PLACES_Pct_High_Cholesterol,PLACES_Pct_Housing_Insecurity,PLACES_Pct_Independent_Living_Disability,PLACES_Pct_Lack_Social_Support,PLACES_Pct_Loneliness,PLACES_Pct_Mammography,PLACES_Pct_Mobility_Disability,PLACES_Pct_Obesity,PLACES_Pct_Physical_Inactivity,PLACES_Pct_Routine_Checkup,PLACES_Pct_Self_Care_Disability,PLACES_Pct_Short_Sleep,PLACES_Pct_Stroke,PLACES_Pct_Teeth_Lost_65Plus,PLACES_Pct_Transportation_Barrier,PLACES_Pct_Uninsured_18_64,PLACES_Pct_Utility_Shutoff_Threat,PLACES_Pct_Vision_Disability
Arden,Delaware,23.4,21.8,53.9,19.2,4.4,8.2,87.4,11.7,63.6,4.4,10.3,9.4,71.4,23.9,7.7,12.2,7.9,6.1,15.6,10.1,4.8,27.3,33.5,7.9,5.8,18.3,30.1,79.2,8.9,29.5,18.3,76.8,2.2,31.8,2.3,11.0,5.5,5.7,5.1,2.9
Ardencroft,Delaware,23.3,21.7,53.4,19.6,4.4,8.3,87.2,11.6,62.4,4.5,10.2,9.6,69.1,24.1,7.6,12.0,7.4,5.6,15.6,10.1,4.9,27.2,33.5,7.3,5.7,18.0,29.8,78.6,8.7,29.1,17.9,76.4,2.2,32.2,2.2,8.5,5.2,5.5,4.7,2.8
Ardentown,Delaware,23.4,21.9,53.1,20.4,4.5,8.3,86.6,11.6,65.3,4.3,10.0,9.8,68.5,23.7,7.6,11.9,7.2,5.4,15.5,10.1,4.8,27.2,33.6,7.1,5.7,18.4,29.7,78.2,8.9,29.0,17.8,75.8,2.2,32.5,2.2,5.9,5.2,5.3,4.7,2.8
Bear,Delaware,30.2,23.0,58.5,14.9,5.8,6.3,85.6,14.9,58.9,5.3,11.0,13.1,59.9,20.8,12.1,19.9,19.6,16.7,17.1,12.7,5.0,34.3,33.9,16.8,8.5,25.7,34.7,79.0,13.8,35.7,28.5,78.1,3.9,38.5,3.3,13.0,10.5,11.5,10.7,5.5
Bellefonte,Delaware,26.2,23.1,54.7,18.7,5.4,8.0,85.8,12.9,63.0,5.0,10.3,11.6,70.4,23.9,9.0,14.6,10.2,8.5,16.3,11.3,5.4,29.7,34.1,9.2,6.8,19.3,30.4,73.5,10.7,31.5,21.3,76.3,2.7,31.7,2.7,8.6,6.6,6.8,6.2,3.6
Bethany Beach,Delaware,19.2,21.1,57.4,19.1,3.8,8.1,89.0,9.3,65.6,4.0,10.0,8.2,75.3,22.4,6.5,9.9,5.5,3.9,13.6,9.0,4.6,26.7,36.2,5.5,4.7,15.7,28.3,84.1,7.0,27.8,15.3,79.5,1.8,28.5,1.9,7.0,3.9,4.5,3.7,2.3
Bethel,Delaware,35.2,27.4,60.4,16.9,9.7,7.4,81.0,18.2,53.7,7.3,11.7,22.2,51.5,25.8,11.9,23.7,20.1,19.8,20.0,16.3,7.8,37.0,38.6,14.7,11.1,22.2,33.1,72.8,15.9,38.3,31.6,77.1,4.9,36.7,3.9,20.9,10.7,11.9,10.8,6.4
Blades,Delaware,30.8,24.2,61.3,15.8,6.6,6.5,84.8,15.3,60.0,5.8,11.3,16.0,58.1,21.4,11.5,20.9,19.4,15.8,17.5,13.9,5.9,35.5,37.1,16.3,8.8,24.7,34.5,80.2,13.6,37.6,29.4,78.8,4.0,37.7,3.4,13.9,10.0,13.9,10.4,5.5
Bowers,Delaware,34.4,26.4,58.5,15.7,7.6,7.8,83.3,16.2,58.4,5.9,12.2,16.0,59.2,25.6,11.4,20.5,14.9,14.0,19.5,14.6,6.7,34.5,35.1,12.9,9.1,21.5,34.7,68.5,14.6,42.8,30.7,78.8,3.7,40.3,3.2,16.0,8.3,9.9,8.1,5.0
Bridgeville,Delaware,30.5,24.7,61.9,15.3,7.0,7.0,84.9,15.0,57.5,6.1,11.3,15.9,59.3,22.0,11.3,20.7,19.2,16.7,17.2,13.9,6.4,35.3,37.5,15.5,9.0,22.7,33.1,76.7,13.6,37.0,28.7,79.4,4.1,36.3,3.3,13.6,10.0,12.5,10.5,5.6
