Year,LocationID,LocationName,Geography_Type,County,DataSource,Category,Measure,Short_Question_Text,MeasureId,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,TotalPop18plus,TotalPopulation,Latitude,Longitude
2023,19901,19901,ZCTA,Kent,BRFSS,Disability,Any disability among adults,Any Disability,DISABILITY,36.8,33.0,40.8,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Disability,Cognitive disability among adults,Cognitive Disability,COGNITION,16.3,14.5,18.3,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Disability,Hearing disability among adults,Hearing Disability,HEARING,6.7,6.0,7.5,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Disability,Independent living disability among adults,Independent Living Disability,INDEPLIVE,10.1,9.0,11.3,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Disability,Mobility disability among adults,Mobility Disability,MOBILITY,17.2,15.5,19.0,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Disability,Self-care disability among adults,Self-care Disability,SELFCARE,4.5,4.2,4.9,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Disability,Vision disability among adults,Vision Disability,VISION,6.3,5.8,6.9,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2022,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,All Teeth Lost,TEETHLOST,17.5,14.7,20.6,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,Arthritis among adults,Arthritis,ARTHRITIS,27.7,25.1,30.5,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,Cancer (non-skin) or Melanoma,CANCER,7.5,6.9,8.2,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,COPD,COPD,7.9,7.1,8.8,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,Coronary heart disease among adults,Coronary Heart Disease,CHD,6.6,6.0,7.3,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,Current asthma among adults,Current Asthma,CASTHMA,13.0,11.5,14.6,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,Depression among adults,Depression,DEPRESSION,23.0,19.9,26.7,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,Diagnosed diabetes among adults,Diabetes,DIABETES,14.5,12.8,16.2,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,High blood pressure among adults,High Blood Pressure,BPHIGH,38.7,35.3,42.3,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,High Cholesterol,HIGHCHOL,37.7,34.1,41.5,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,Obesity among adults,Obesity,OBESITY,44.0,37.7,50.7,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,Stroke among adults,Stroke,STROKE,4.0,3.7,4.3,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Risk Behaviors,Binge drinking among adults,Binge Drinking,BINGE,12.7,10.6,15.0,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,Current Cigarette Smoking,CSMOKING,13.9,12.1,15.8,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,Physical Inactivity,LPA,33.3,29.1,37.8,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2022,19901,19901,ZCTA,Kent,BRFSS,Health Risk Behaviors,Short sleep duration among adults,Short Sleep Duration,SLEEP,41.7,36.3,47.1,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Status,Fair or poor self-rated health status among adults,General Health,GHLTH,22.8,20.4,25.3,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
