Year,LocationID,LocationName,Geography_Type,County,DataSource,Category,Measure,Short_Question_Text,MeasureId,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,TotalPop18plus,TotalPopulation,Latitude,Longitude
2023,19901,19901,ZCTA,Kent,BRFSS,Disability,Any disability among adults,Any Disability,DISABILITY,36.8,33.0,40.8,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Disability,Cognitive disability among adults,Cognitive Disability,COGNITION,16.3,14.5,18.3,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Disability,Hearing disability among adults,Hearing Disability,HEARING,6.7,6.0,7.5,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Disability,Independent living disability among adults,Independent Living Disability,INDEPLIVE,10.1,9.0,11.3,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Disability,Mobility disability among adults,Mobility Disability,MOBILITY,17.2,15.5,19.0,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Disability,Self-care disability among adults,Self-care Disability,SELFCARE,4.5,4.2,4.9,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Disability,Vision disability among adults,Vision Disability,VISION,6.3,5.8,6.9,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19902,19902,ZCTA,Kent,BRFSS,Disability,Any disability among adults,Any Disability,DISABILITY,31.5,27.6,35.6,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Disability,Cognitive disability among adults,Cognitive Disability,COGNITION,20.8,18.4,23.4,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Disability,Hearing disability among adults,Hearing Disability,HEARING,2.6,2.3,3.0,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Disability,Independent living disability among adults,Independent Living Disability,INDEPLIVE,7.7,6.8,8.7,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Disability,Mobility disability among adults,Mobility Disability,MOBILITY,2.9,2.5,3.4,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Disability,Self-care disability among adults,Self-care Disability,SELFCARE,1.1,1.0,1.2,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Disability,Vision disability among adults,Vision Disability,VISION,3.7,3.2,4.1,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19904,19904,ZCTA,Kent,BRFSS,Disability,Any disability among adults,Any Disability,DISABILITY,36.4,32.6,40.3,%,Crude prevalence,28683,36880,39.1712793,-75.587619
2023,19904,19904,ZCTA,Kent,BRFSS,Disability,Cognitive disability among adults,Cognitive Disability,COGNITION,15.4,13.7,17.2,%,Crude prevalence,28683,36880,39.1712793,-75.587619
2023,19904,19904,ZCTA,Kent,BRFSS,Disability,Hearing disability among adults,Hearing Disability,HEARING,6.9,6.2,7.8,%,Crude prevalence,28683,36880,39.1712793,-75.587619
2023,19904,19904,ZCTA,Kent,BRFSS,Disability,Independent living disability among adults,Independent Living Disability,INDEPLIVE,9.7,8.7,10.7,%,Crude prevalence,28683,36880,39.1712793,-75.587619
2023,19904,19904,ZCTA,Kent,BRFSS,Disability,Mobility disability among adults,Mobility Disability,MOBILITY,17.6,15.8,19.5,%,Crude prevalence,28683,36880,39.1712793,-75.587619
2023,19904,19904,ZCTA,Kent,BRFSS,Disability,Self-care disability among adults,Self-care Disability,SELFCARE,4.5,4.2,4.9,%,Crude prevalence,28683,36880,39.1712793,-75.587619
2023,19904,19904,ZCTA,Kent,BRFSS,Disability,Vision disability among adults,Vision Disability,VISION,6.1,5.6,6.6,%,Crude prevalence,28683,36880,39.1712793,-75.587619
2023,19701,19701,ZCTA,New Castle,BRFSS,Disability,Any disability among adults,Any Disability,DISABILITY,27.4,24.2,30.6,%,Crude prevalence,33580,42717,39.5838947,-75.6969951
2023,19701,19701,ZCTA,New Castle,BRFSS,Disability,Cognitive disability among adults,Cognitive Disability,COGNITION,12.8,11.4,14.2,%,Crude prevalence,33580,42717,39.5838947,-75.6969951
2023,19701,19701,ZCTA,New Castle,BRFSS,Disability,Hearing disability among adults,Hearing Disability,HEARING,5.0,4.4,5.6,%,Crude prevalence,33580,42717,39.5838947,-75.6969951
2023,19701,19701,ZCTA,New Castle,BRFSS,Disability,Independent living disability among adults,Independent Living Disability,INDEPLIVE,7.2,6.4,7.9,%,Crude prevalence,33580,42717,39.5838947,-75.6969951
2023,19701,19701,ZCTA,New Castle,BRFSS,Disability,Mobility disability among adults,Mobility Disability,MOBILITY,12.7,11.3,14.2,%,Crude prevalence,33580,42717,39.5838947,-75.6969951
