Year,LocationID,LocationName,Geography_Type,County,DataSource,Category,Measure,Short_Question_Text,MeasureId,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,TotalPop18plus,TotalPopulation,Latitude,Longitude
2022,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,All Teeth Lost,TEETHLOST,17.5,14.7,20.6,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,Arthritis among adults,Arthritis,ARTHRITIS,27.7,25.1,30.5,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,Cancer (non-skin) or Melanoma,CANCER,7.5,6.9,8.2,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,COPD,COPD,7.9,7.1,8.8,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,Coronary heart disease among adults,Coronary Heart Disease,CHD,6.6,6.0,7.3,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,Current asthma among adults,Current Asthma,CASTHMA,13.0,11.5,14.6,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,Depression among adults,Depression,DEPRESSION,23.0,19.9,26.7,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,Diagnosed diabetes among adults,Diabetes,DIABETES,14.5,12.8,16.2,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,High blood pressure among adults,High Blood Pressure,BPHIGH,38.7,35.3,42.3,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,High Cholesterol,HIGHCHOL,37.7,34.1,41.5,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,Obesity among adults,Obesity,OBESITY,44.0,37.7,50.7,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Outcomes,Stroke among adults,Stroke,STROKE,4.0,3.7,4.3,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19902,19902,ZCTA,Kent,BRFSS,Health Outcomes,Arthritis among adults,Arthritis,ARTHRITIS,3.9,3.3,4.6,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,Cancer (non-skin) or Melanoma,CANCER,0.7,0.6,0.9,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,COPD,COPD,1.7,1.5,2.0,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Health Outcomes,Coronary heart disease among adults,Coronary Heart Disease,CHD,0.9,0.8,1.0,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Health Outcomes,Current asthma among adults,Current Asthma,CASTHMA,10.2,9.0,11.5,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Health Outcomes,Depression among adults,Depression,DEPRESSION,23.2,19.9,26.9,%,Crude prevalence,104,108,39.127656,-75.4669115
