Year,LocationID,LocationName,Geography_Type,County,DataSource,Category,Measure,Short_Question_Text,MeasureId,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,TotalPop18plus,TotalPopulation,Latitude,Longitude
2023,19901,19901,ZCTA,Kent,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,Food Insecurity,FOODINSECU,19.4,17.4,21.9,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,Housing Insecurity,HOUSINSECU,16.1,14.3,18.2,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,Transportation Barriers,LACKTRPT,10.7,9.6,12.0,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,Lack of Social/Emotional Support,EMOTIONSPT,23.9,21.1,27.2,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health-Related Social Needs,Loneliness among adults,Loneliness,LONELINESS,36.7,32.9,40.9,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,Food Stamps,FOODSTAMP,18.2,16.0,20.8,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,Utility Services Threat,SHUTUTILITY,10.3,9.1,11.8,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19902,19902,ZCTA,Kent,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,Food Insecurity,FOODINSECU,15.0,12.5,17.7,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,Housing Insecurity,HOUSINSECU,11.6,10.0,13.5,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,Transportation Barriers,LACKTRPT,11.4,10.1,13.0,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,Lack of Social/Emotional Support,EMOTIONSPT,27.7,24.1,31.9,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Health-Related Social Needs,Loneliness among adults,Loneliness,LONELINESS,46.4,41.8,51.1,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,Food Stamps,FOODSTAMP,8.0,6.5,9.8,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,Utility Services Threat,SHUTUTILITY,5.8,5.0,6.7,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19904,19904,ZCTA,Kent,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,Food Insecurity,FOODINSECU,17.9,15.9,20.1,%,Crude prevalence,28683,36880,39.1712793,-75.587619
2023,19904,19904,ZCTA,Kent,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,Housing Insecurity,HOUSINSECU,15.2,13.4,17.2,%,Crude prevalence,28683,36880,39.1712793,-75.587619
2023,19904,19904,ZCTA,Kent,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,Transportation Barriers,LACKTRPT,9.8,8.8,11.0,%,Crude prevalence,28683,36880,39.1712793,-75.587619
2023,19904,19904,ZCTA,Kent,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,Lack of Social/Emotional Support,EMOTIONSPT,23.5,20.6,26.8,%,Crude prevalence,28683,36880,39.1712793,-75.587619
2023,19904,19904,ZCTA,Kent,BRFSS,Health-Related Social Needs,Loneliness among adults,Loneliness,LONELINESS,35.6,31.8,39.7,%,Crude prevalence,28683,36880,39.1712793,-75.587619
2023,19904,19904,ZCTA,Kent,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,Food Stamps,FOODSTAMP,16.9,14.7,19.3,%,Crude prevalence,28683,36880,39.1712793,-75.587619
2023,19904,19904,ZCTA,Kent,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,Utility Services Threat,SHUTUTILITY,9.9,8.7,11.3,%,Crude prevalence,28683,36880,39.1712793,-75.587619
