Year,LocationID,LocationName,Geography_Type,County,DataSource,Category,Measure,Short_Question_Text,MeasureId,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,TotalPop18plus,TotalPopulation,Latitude,Longitude
2023,19901,19901,ZCTA,Kent,BRFSS,Health Risk Behaviors,Binge drinking among adults,Binge Drinking,BINGE,12.7,10.6,15.0,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,Current Cigarette Smoking,CSMOKING,13.9,12.1,15.8,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,Physical Inactivity,LPA,33.3,29.1,37.8,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2022,19901,19901,ZCTA,Kent,BRFSS,Health Risk Behaviors,Short sleep duration among adults,Short Sleep Duration,SLEEP,41.7,36.3,47.1,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19902,19902,ZCTA,Kent,BRFSS,Health Risk Behaviors,Binge drinking among adults,Binge Drinking,BINGE,23.3,19.8,27.4,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,Current Cigarette Smoking,CSMOKING,6.8,5.5,8.2,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,Physical Inactivity,LPA,21.1,17.1,25.4,%,Crude prevalence,104,108,39.127656,-75.4669115
2022,19902,19902,ZCTA,Kent,BRFSS,Health Risk Behaviors,Short sleep duration among adults,Short Sleep Duration,SLEEP,38.6,33.2,44.0,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19904,19904,ZCTA,Kent,BRFSS,Health Risk Behaviors,Binge drinking among adults,Binge Drinking,BINGE,12.3,10.3,14.7,%,Crude prevalence,28683,36880,39.1712793,-75.587619
2023,19904,19904,ZCTA,Kent,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,Current Cigarette Smoking,CSMOKING,13.9,12.1,15.8,%,Crude prevalence,28683,36880,39.1712793,-75.587619
2023,19904,19904,ZCTA,Kent,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,Physical Inactivity,LPA,32.8,28.7,37.2,%,Crude prevalence,28683,36880,39.1712793,-75.587619
2022,19904,19904,ZCTA,Kent,BRFSS,Health Risk Behaviors,Short sleep duration among adults,Short Sleep Duration,SLEEP,41.8,36.4,47.1,%,Crude prevalence,28683,36880,39.1712793,-75.587619
2023,19701,19701,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Binge drinking among adults,Binge Drinking,BINGE,15.2,12.9,17.7,%,Crude prevalence,33580,42717,39.5838947,-75.6969951
2023,19701,19701,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,Current Cigarette Smoking,CSMOKING,11.7,10.1,13.4,%,Crude prevalence,33580,42717,39.5838947,-75.6969951
2023,19701,19701,ZCTA,New Castle,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,Physical Inactivity,LPA,24.8,21.3,28.4,%,Crude prevalence,33580,42717,39.5838947,-75.6969951
2022,19701,19701,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Short sleep duration among adults,Short Sleep Duration,SLEEP,36.5,31.7,41.7,%,Crude prevalence,33580,42717,39.5838947,-75.6969951
2023,19702,19702,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Binge drinking among adults,Binge Drinking,BINGE,15.6,13.2,18.1,%,Crude prevalence,42790,55653,39.6181998,-75.7297243
2023,19702,19702,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,Current Cigarette Smoking,CSMOKING,11.8,10.2,13.4,%,Crude prevalence,42790,55653,39.6181998,-75.7297243
2023,19702,19702,ZCTA,New Castle,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,Physical Inactivity,LPA,25.0,21.6,28.6,%,Crude prevalence,42790,55653,39.6181998,-75.7297243
2022,19702,19702,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Short sleep duration among adults,Short Sleep Duration,SLEEP,37.2,32.3,42.4,%,Crude prevalence,42790,55653,39.6181998,-75.7297243
2023,19703,19703,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Binge drinking among adults,Binge Drinking,BINGE,15.7,13.4,18.2,%,Crude prevalence,12679,16175,39.8015141,-75.4538529
2023,19703,19703,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,Current Cigarette Smoking,CSMOKING,11.6,10.0,13.3,%,Crude prevalence,12679,16175,39.8015141,-75.4538529
2023,19703,19703,ZCTA,New Castle,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,Physical Inactivity,LPA,24.8,21.2,28.4,%,Crude prevalence,12679,16175,39.8015141,-75.4538529
2022,19703,19703,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Short sleep duration among adults,Short Sleep Duration,SLEEP,36.7,31.9,42.0,%,Crude prevalence,12679,16175,39.8015141,-75.4538529
2023,19706,19706,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Binge drinking among adults,Binge Drinking,BINGE,16.5,14.0,19.2,%,Crude prevalence,1528,1938,39.5749538,-75.5906758
2023,19706,19706,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,Current Cigarette Smoking,CSMOKING,13.5,11.2,16.1,%,Crude prevalence,1528,1938,39.5749538,-75.5906758
2023,19706,19706,ZCTA,New Castle,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,Physical Inactivity,LPA,25.5,21.4,29.8,%,Crude prevalence,1528,1938,39.5749538,-75.5906758
2022,19706,19706,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Short sleep duration among adults,Short Sleep Duration,SLEEP,34.3,29.5,39.4,%,Crude prevalence,1528,1938,39.5749538,-75.5906758
2023,19707,19707,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Binge drinking among adults,Binge Drinking,BINGE,14.6,12.3,17.0,%,Crude prevalence,13825,17274,39.785594,-75.68364
2023,19707,19707,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,Current Cigarette Smoking,CSMOKING,7.2,6.1,8.4,%,Crude prevalence,13825,17274,39.785594,-75.68364
