Year,LocationID,LocationName,Geography_Type,County,DataSource,Category,Measure,Short_Question_Text,MeasureId,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,TotalPop18plus,TotalPopulation,Latitude,Longitude
2023,19901,19901,ZCTA,Kent,BRFSS,Prevention,Cholesterol screening among adults,Cholesterol Screening,CHOLSCREEN,84.3,82.3,86.2,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2022,19901,19901,ZCTA,Kent,BRFSS,Prevention,Colorectal cancer screening among adults aged 45–75 years,Colorectal Cancer Screening,COLON_SCREEN,65.9,61.4,70.1,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,Health Insurance,ACCESS2,10.6,9.1,12.2,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2022,19901,19901,ZCTA,Kent,BRFSS,Prevention,Mammography use among women aged 50-74 years,Mammography,MAMMOUSE,73.0,66.3,79.0,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,High Blood Pressure Medication,BPMED,76.4,74.0,78.7,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2022,19901,19901,ZCTA,Kent,BRFSS,Prevention,Visited dentist or dental clinic in the past year among adults,Dental Visit,DENTAL,58.2,54.4,62.0,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19901,19901,ZCTA,Kent,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,Annual Checkup,CHECKUP,81.7,78.6,84.7,%,Crude prevalence,28448,36839,39.1815422,-75.4735201
2023,19902,19902,ZCTA,Kent,BRFSS,Prevention,Cholesterol screening among adults,Cholesterol Screening,CHOLSCREEN,61.3,56.3,66.3,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,Health Insurance,ACCESS2,13.3,10.5,16.3,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,High Blood Pressure Medication,BPMED,16.9,13.7,20.7,%,Crude prevalence,104,108,39.127656,-75.4669115
2022,19902,19902,ZCTA,Kent,BRFSS,Prevention,Visited dentist or dental clinic in the past year among adults,Dental Visit,DENTAL,57.2,53.0,61.2,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19902,19902,ZCTA,Kent,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,Annual Checkup,CHECKUP,67.4,62.5,72.1,%,Crude prevalence,104,108,39.127656,-75.4669115
2023,19904,19904,ZCTA,Kent,BRFSS,Prevention,Cholesterol screening among adults,Cholesterol Screening,CHOLSCREEN,85.9,84.1,87.7,%,Crude prevalence,28683,36880,39.1712793,-75.587619
