CensusTractFIPS,CountyName,CountyFIPS,TotalPopulation,TotalPop18plus,Latitude,Longitude,Pct_All_Teeth_Lost,Pct_Annual_Checkup,Pct_Any_Disability,Pct_Arthritis,Pct_Binge_Drinking,Pct_COPD,Pct_Cancer_(non_skin)_or_Melanoma,Pct_Cholesterol_Screening,Pct_Cognitive_Disability,Pct_Colorectal_Cancer_Screening,Pct_Coronary_Heart_Disease,Pct_Current_Asthma,Pct_Current_Cigarette_Smoking,Pct_Dental_Visit,Pct_Depression,Pct_Diabetes,Pct_Food_Insecurity,Pct_Food_Stamps,Pct_Frequent_Mental_Distress,Pct_Frequent_Physical_Distress,Pct_General_Health,Pct_Health_Insurance,Pct_Hearing_Disability,Pct_High_Blood_Pressure,Pct_High_Blood_Pressure_Medication,Pct_High_Cholesterol,Pct_Housing_Insecurity,Pct_Independent_Living_Disability,Pct_Lack_of_Social_Emotional_Support,Pct_Loneliness,Pct_Mammography,Pct_Mobility_Disability,Pct_Obesity,Pct_Physical_Inactivity,Pct_Self_care_Disability,Pct_Short_Sleep_Duration,Pct_Stroke,Pct_Transportation_Barriers,Pct_Utility_Services_Threat,Pct_Vision_Disability
10001040100,Kent,10001,7315,5611,39.2372835,-75.6947414,12.4,81.2,35.7,31.1,13.9,8.8,9.2,86.3,15.4,65.6,7.1,12.6,15.9,61.3,24.8,14.1,14.1,13.0,18.4,15.7,21.6,9.0,7.4,39.4,77.8,41.1,12.0,9.1,21.6,33.8,71.7,17.1,43.4,31.8,4.2,39.0,3.9,7.8,7.5,5.3
10001040201,Kent,10001,5446,4042,39.2908408,-75.6375081,12.7,80.7,31.0,25.8,14.9,6.1,7.2,86.4,14.2,65.9,5.0,12.6,13.1,63.9,23.6,11.7,13.5,11.6,18.3,13.1,18.0,8.3,5.2,35.1,74.7,36.4,13.0,7.7,23.1,35.3,76.0,13.3,42.9,28.2,3.3,41.0,3.0,7.6,7.9,4.3
10001040203,Kent,10001,5182,3975,39.2858685,-75.550836,18.0,83.1,36.5,31.5,12.0,8.4,8.9,87.4,15.0,64.5,7.1,12.9,14.8,57.7,22.6,15.4,17.1,16.0,18.0,15.4,22.5,9.6,7.1,42.1,79.1,40.6,14.9,9.4,23.7,35.1,73.9,18.1,45.1,33.9,4.4,41.8,4.2,9.0,9.4,5.8
10001040204,Kent,10001,6451,4663,39.284473,-75.6213257,11.9,81.7,30.4,26.1,14.1,5.8,7.4,87.6,13.2,65.7,5.2,12.3,12.3,64.0,21.8,12.1,12.9,10.7,17.1,12.7,17.7,8.1,5.3,36.3,76.0,37.2,12.5,7.3,23.7,35.1,75.5,13.4,41.9,27.8,3.2,41.3,3.1,7.2,7.3,4.3
10001040205,Kent,10001,4699,3533,39.2762771,-75.6005068,11.6,82.1,34.2,28.5,13.1,7.1,8.0,86.9,14.7,66.2,6.1,12.9,13.4,60.4,22.8,13.7,15.7,13.8,18.1,14.3,20.5,9.5,6.2,38.7,77.2,38.5,14.5,8.7,24.1,35.9,74.5,15.9,43.7,31.0,3.9,42.0,3.7,8.6,8.7,5.2
10001040206,Kent,10001,7643,5825,39.2496199,-75.612872,10.4,84.0,28.9,28.3,12.8,5.6,9.0,90.2,11.1,70.8,5.7,11.8,10.0,71.6,19.9,12.8,10.5,8.3,14.8,12.0,16.2,6.8,5.7,38.7,79.4,39.6,10.3,6.4,21.8,33.0,77.2,13.3,40.3,26.0,3.0,37.8,3.3,5.9,6.1,3.9
10001040501,Kent,10001,4605,3611,39.1995839,-75.5439014,18.8,83.2,39.7,31.7,11.2,9.3,8.1,86.1,16.4,65.6,8.0,13.2,15.9,56.7,21.8,17.9,22.3,21.6,18.4,16.6,26.3,11.7,7.5,44.6,79.7,40.7,18.1,11.0,25.2,36.2,72.5,20.9,47.1,37.5,5.6,43.3,4.9,11.4,11.9,7.5
10001040502,Kent,10001,2645,2038,39.221079,-75.5325177,15.5,84.0,36.5,32.3,11.4,8.0,9.9,88.6,13.9,69.3,7.7,12.4,12.7,61.2,20.9,15.6,15.3,13.2,16.6,14.9,21.5,9.7,7.9,43.0,80.7,41.5,13.6,8.9,23.7,34.9,74.6,18.3,43.1,33.0,4.2,40.4,4.4,8.2,8.2,5.6
10001040700,Kent,10001,5461,4265,39.1745533,-75.5639418,17.4,84.9,34.5,32.5,11.0,7.5,10.2,89.6,12.6,70.2,7.3,12.4,11.0,60.0,20.3,15.4,13.4,11.7,15.4,14.1,20.0,8.2,7.4,42.8,81.4,41.9,11.9,8.3,22.1,33.5,75.8,17.6,41.5,30.3,4.0,40.9,4.3,7.5,7.4,5.3
10001040900,Kent,10001,2374,2045,39.1686684,-75.5256038,21.2,83.2,42.5,33.5,11.2,10.9,9.7,84.0,17.5,65.6,9.2,13.3,14.9,55.6,23.9,17.8,20.8,21.0,19.1,17.2,26.6,10.9,9.2,44.0,79.8,41.6,15.5,12.3,22.4,35.6,72.7,22.1,44.8,37.0,5.8,40.7,5.3,11.7,10.7,8.0
