CensusTractFIPS,CountyName,Category,Measure,Pct_Value,CI_Low,CI_High,TotalPopulation,TotalPop18plus
10003014810,New Castle,Health Outcomes,Obesity,32.7,27.2,38.4,7083,5613
10003014813,New Castle,Health Outcomes,Obesity,29.7,24.4,35.2,4889,3848
10001041701,Kent,Health Risk Behaviors,Binge Drinking,12.9,10.8,15.2,6164,4781
10001041200,Kent,Health-Related Social Needs,Utility Services Threat,8.4,7.3,9.7,4368,3262
10001040205,Kent,Health Risk Behaviors,Current Cigarette Smoking,13.4,11.5,15.5,4699,3533
10001040201,Kent,Health-Related Social Needs,Transportation Barriers,7.6,6.7,8.7,5446,4042
10001040203,Kent,Disability,Independent Living Disability,9.4,8.3,10.6,5182,3975
10001040700,Kent,Health Status,Frequent Physical Distress,14.1,12.2,16.2,5461,4265
10001041400,Kent,Prevention,Health Insurance,12.7,10.3,15.3,3839,2982
10001041500,Kent,Disability,Vision Disability,6.7,6.1,7.4,4085,3030
10001041000,Kent,Health Risk Behaviors,Short Sleep Duration,44.1,38.7,49.5,7443,5657
10001040502,Kent,Health Outcomes,Obesity,43.1,36.8,49.7,2645,2038
10001040100,Kent,Health-Related Social Needs,Food Insecurity,14.1,12.0,16.5,7315,5611
10001041300,Kent,Disability,Hearing Disability,8.3,7.3,9.3,2059,1505
10001040201,Kent,Prevention,Colorectal Cancer Screening,65.9,61.5,70.0,5446,4042
10001041702,Kent,Health Outcomes,Current Asthma,11.9,10.6,13.4,4472,3405
10001041600,Kent,Disability,Mobility Disability,21.2,18.5,23.8,2107,1707
10001040700,Kent,Disability,Vision Disability,5.3,4.6,6.2,5461,4265
10001041200,Kent,Health Outcomes,Depression,20.9,18.0,24.2,4368,3262
10001040502,Kent,Prevention,Dental Visit,61.2,57.3,64.9,2645,2038
10001040204,Kent,Health Outcomes,High Cholesterol,37.2,33.5,41.1,6451,4663
10001041000,Kent,Health Risk Behaviors,Binge Drinking,12.6,10.5,15.0,7443,5657
10001041000,Kent,Health Outcomes,High Cholesterol,36.2,32.6,39.9,7443,5657
10001040204,Kent,Disability,Any Disability,30.4,26.7,34.3,6451,4663
10001040205,Kent,Health Risk Behaviors,Physical Inactivity,31.0,26.8,35.5,4699,3533
10001040900,Kent,Disability,Mobility Disability,22.1,19.4,24.8,2374,2045
10001041300,Kent,Health-Related Social Needs,Loneliness,37.2,33.1,41.4,2059,1505
10001041000,Kent,Disability,Self-care Disability,5.1,4.5,5.7,7443,5657
10001040501,Kent,Disability,Vision Disability,7.5,6.7,8.3,4605,3611
10001040204,Kent,Health Outcomes,All Teeth Lost,11.9,9.8,14.3,6451,4663
10001040900,Kent,Disability,Independent Living Disability,12.3,10.7,14.0,2374,2045
10001041300,Kent,Health Outcomes,Coronary Heart Disease,8.7,7.8,9.7,2059,1505
10001041702,Kent,Health Risk Behaviors,Current Cigarette Smoking,11.4,9.7,13.4,4472,3405
10001041200,Kent,Health Outcomes,High Blood Pressure,40.8,37.1,44.5,4368,3262
10001040201,Kent,Prevention,Mammography,76.0,69.7,81.6,5446,4042
10001041500,Kent,Health Outcomes,Coronary Heart Disease,7.3,6.6,8.1,4085,3030
10001040203,Kent,Prevention,Dental Visit,57.7,53.8,61.6,5182,3975
10001040203,Kent,Health-Related Social Needs,Utility Services Threat,9.4,8.2,10.8,5182,3975
10001041101,Kent,Health Outcomes,Depression,26.2,22.6,30.2,2816,1805
10001040100,Kent,Health Risk Behaviors,Binge Drinking,13.9,11.7,16.5,7315,5611
10001041000,Kent,Prevention,High Blood Pressure Medication,74.5,71.9,77.0,7443,5657
10001041400,Kent,Health-Related Social Needs,Food Insecurity,26.5,22.8,30.7,3839,2982
10001040204,Kent,Health Outcomes,Current Asthma,12.3,10.9,13.9,6451,4663
10001040502,Kent,Prevention,Health Insurance,9.7,8.1,11.5,2645,2038
10001041600,Kent,Health Outcomes,COPD,10.3,8.8,11.9,2107,1707
10001040201,Kent,Disability,Vision Disability,4.3,3.9,4.8,5446,4042
10001040206,Kent,Disability,Independent Living Disability,6.4,5.6,7.3,7643,5825
10001041300,Kent,Prevention,Annual Checkup,82.0,78.9,84.9,2059,1505
10001041701,Kent,Health Status,General Health,18.5,16.2,20.9,6164,4781
10001040700,Kent,Health Outcomes,Current Asthma,12.4,10.9,14.0,5461,4265
10001041702,Kent,Health Outcomes,High Blood Pressure,40.3,36.7,44.1,4472,3405
10001040203,Kent,Health-Related Social Needs,Loneliness,35.1,31.3,39.3,5182,3975
10001041500,Kent,Health-Related Social Needs,Utility Services Threat,11.6,10.1,13.3,4085,3030
10001041701,Kent,Health Outcomes,Obesity,40.9,34.7,47.4,6164,4781
10001041400,Kent,Disability,Hearing Disability,6.0,5.3,6.8,3839,2982
10001040501,Kent,Health Outcomes,Coronary Heart Disease,8.0,7.1,8.8,4605,3611
10001040900,Kent,Disability,Cognitive Disability,17.5,15.3,20.0,2374,2045
10001040206,Kent,Health Outcomes,Depression,19.9,16.9,23.1,7643,5825
10001040201,Kent,Prevention,Dental Visit,63.9,60.1,67.4,5446,4042
10001040501,Kent,Disability,Hearing Disability,7.5,6.7,8.5,4605,3611
