Column,Source,Source Key,Geography Level
ALAND20,"ZCTA boundaries (Census cartographic, pygris)",spatial_zcta,ZCTA (ZIP Code Tabulation Area)
AWATER20,"ZCTA boundaries (Census cartographic, pygris)",spatial_zcta,ZCTA (ZIP Code Tabulation Area)
ZCTA,"ZCTA boundaries (Census cartographic, pygris)",spatial_zcta,ZCTA (ZIP Code Tabulation Area)
Land_Area_SqMi,"ZCTA boundaries (Census cartographic, pygris)",spatial_zcta,ZCTA (ZIP Code Tabulation Area)
Water_Area_SqMi,"ZCTA boundaries (Census cartographic, pygris)",spatial_zcta,ZCTA (ZIP Code Tabulation Area)
County_FIPS,"ZCTA boundaries (Census cartographic, pygris)",spatial_zcta,ZCTA (ZIP Code Tabulation Area)
County_Name,"ZCTA boundaries (Census cartographic, pygris)",spatial_zcta,ZCTA (ZIP Code Tabulation Area)
Total_Population,Census ACS 5-Year Data Profile,acs,ZCTA (ZIP Code Tabulation Area)
Median_Age,Census ACS 5-Year Data Profile,acs,ZCTA (ZIP Code Tabulation Area)
Pct_Age_65_Plus,Census ACS 5-Year Data Profile,acs,ZCTA (ZIP Code Tabulation Area)
Median_Household_Income,Census ACS 5-Year Data Profile,acs,ZCTA (ZIP Code Tabulation Area)
Pct_Below_Poverty,Census ACS 5-Year Data Profile,acs,ZCTA (ZIP Code Tabulation Area)
Pct_No_Health_Insurance,Census ACS 5-Year Data Profile,acs,ZCTA (ZIP Code Tabulation Area)
Pct_Commute_Public_Transit,Census ACS 5-Year Data Profile,acs,ZCTA (ZIP Code Tabulation Area)
Pct_Broadband_Internet,Census ACS 5-Year Data Profile,acs,ZCTA (ZIP Code Tabulation Area)
Pct_NonEnglish_Language_Home,Census ACS 5-Year Data Profile,acs,ZCTA (ZIP Code Tabulation Area)
BRFSS_Year,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Cigarette_Smoking_Sample_Size,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Cigarette_Smoking,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Cigarette_Smoking_CI_Low,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Cigarette_Smoking_CI_High,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Smoke_Every_Day_Sample_Size,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Smoke_Every_Day,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Smoke_Every_Day_CI_Low,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Smoke_Every_Day_CI_High,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Ecigarette_Use_Sample_Size,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Ecigarette_Use,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Ecigarette_Use_CI_Low,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Ecigarette_Use_CI_High,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Binge_Drinking_Sample_Size,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Binge_Drinking,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Binge_Drinking_CI_Low,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Binge_Drinking_CI_High,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Heavy_Drinking_Sample_Size,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Heavy_Drinking,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Heavy_Drinking_CI_Low,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Heavy_Drinking_CI_High,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Adult_Obesity_Sample_Size,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Adult_Obesity,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Adult_Obesity_CI_Low,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Adult_Obesity_CI_High,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Adult_Overweight_Sample_Size,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Adult_Overweight,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Adult_Overweight_CI_Low,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
